"TOA5","LSPS Weather","CR800","31766","CR800.Std.27","CPU:EvapTransWxStation_revB.CR8","24097","Daily"
"TIMESTAMP","RECORD","BattV_Min","BattV_Max","Rain_in_Tot"
"TS","RN","Volts","Volts","inch"
"","","Min","Max","Tot"
"2016-02-01 24:00:00",560,12.19,13.19,0
"2016-02-02 24:00:00",561,12.17,13.34,0
"2016-02-03 24:00:00",562,12.09,13.57,0
"2016-02-04 24:00:00",563,12.01,13.76,0
"2016-02-05 24:00:00",564,12.04,13.7,0
"2016-02-06 24:00:00",565,12.11,13.55,0.11
"2016-02-07 24:00:00",566,12.04,13.68,0
"2016-02-08 24:00:00",567,12.15,13.47,0
"2016-02-09 24:00:00",568,12.09,13.61,0
"2016-02-10 24:00:00",569,12.1,13.58,0
"2016-02-11 24:00:00",570,12.17,13.38,0
"2016-02-12 24:00:00",571,12.18,13.35,0
"2016-02-13 24:00:00",572,12.18,13.37,0
"2016-02-14 24:00:00",573,12.21,13.27,0
"2016-02-15 24:00:00",574,12.23,13.22,0
"2016-02-16 24:00:00",575,12.11,13.41,0
"2016-02-17 24:00:00",576,12.16,13.44,0
"2016-02-18 24:00:00",577,12.16,13.33,0
"2016-02-19 24:00:00",578,12.21,13.25,0
"2016-02-20 24:00:00",579,12.22,13.13,0
"2016-02-21 24:00:00",580,12.14,13.03,0.52
"2016-02-22 24:00:00",581,12.06,12.9,0.25
"2016-02-23 24:00:00",582,11.94,13.18,0.8
"2016-02-24 24:00:00",583,11.84,13.35,0
"2016-02-25 24:00:00",584,12.12,13.51,0
"2016-02-26 24:00:00",585,12.14,13.56,0
"2016-02-27 24:00:00",586,12.13,13.51,0
"2016-02-28 24:00:00",587,12.21,13.33,0
"2016-02-29 24:00:00",588,12.24,13.19,0
"2016-03-01 24:00:00",589,12.24,13.15,0
"2016-03-02 24:00:00",590,12.11,13.44,0
"2016-03-03 24:00:00",591,12.24,13.14,0
"2016-03-04 24:00:00",592,12.11,13.47,0
"2016-03-05 24:00:00",593,12.18,13.28,0
"2016-03-06 24:00:00",594,12.18,13.31,0
"2016-03-07 24:00:00",595,12.23,13.15,0
"2016-03-08 24:00:00",596,12.19,13.14,0.26
"2016-03-09 24:00:00",597,12.03,12.39,2.05
"2016-03-10 24:00:00",598,11.97,13.05,1.03
"2016-03-11 24:00:00",599,11.93,13.07,0.61
"2016-03-12 24:00:00",600,12.05,13.19,0.42
"2016-03-13 24:00:00",601,12.14,13.24,0
"2016-03-14 24:00:00",602,12.15,13.3,0
"2016-03-15 24:00:00",603,12.22,13.17,0
"2016-03-16 24:00:00",604,12.15,13.3,0
"2016-03-17 24:00:00",605,12.23,13.13,0
"2016-03-18 24:00:00",606,12.21,13.17,0
"2016-03-19 24:00:00",607,12.14,13.44,0
"2016-03-20 24:00:00",608,12.06,13.52,0
"2016-03-21 24:00:00",609,12.03,13.63,0
"2016-03-22 24:00:00",610,12.07,13.38,0
"2016-03-23 24:00:00",611,12.25,13.18,0
"2016-03-24 24:00:00",612,12.17,13.41,0.36
"2016-03-25 24:00:00",613,12.08,13.46,0
"2016-03-26 24:00:00",614,12.17,13.37,0
"2016-03-27 24:00:00",615,12.23,13.21,0
"2016-03-28 24:00:00",616,12.12,13.43,0
"2016-03-29 24:00:00",617,12.23,13.22,0
"2016-03-30 24:00:00",618,12.2,13.05,0
"2016-03-31 24:00:00",619,12.13,13.04,0
"2016-04-01 24:00:00",620,12.22,13.39,0.05
"2016-04-02 24:00:00",621,12.09,13.42,0
"2016-04-03 24:00:00",622,12.13,13.41,0
"2016-04-04 24:00:00",623,12.31,13.07,0
"2016-04-05 24:00:00",624,12.17,13.32,0
"2016-04-06 24:00:00",625,12.22,13.26,0
"2016-04-07 24:00:00",626,12.14,13.36,0
"2016-04-08 24:00:00",627,12.21,13.25,0
"2016-04-09 24:00:00",628,12.2,13.19,0
"2016-04-10 24:00:00",629,12.22,13.21,0
"2016-04-11 24:00:00",630,12.25,13.13,0.16
"2016-04-12 24:00:00",631,12.18,13.18,0.02
"2016-04-13 24:00:00",632,12.1,13.03,0.51
"2016-04-14 24:00:00",633,12.03,13.18,0
"2016-04-15 24:00:00",634,12.03,13.21,0
"2016-04-16 24:00:00",635,12.22,13.13,0
"2016-04-17 24:00:00",636,12.11,12.93,0.76
"2016-04-18 24:00:00",637,11.95,13.07,1.16
"2016-04-19 24:00:00",638,12.13,13.13,0
"2016-04-20 24:00:00",639,12.18,13.24,0.64
"2016-04-21 24:00:00",640,12.14,13.19,0.47
"2016-04-22 24:00:00",641,12.17,13.2,0
"2016-04-23 24:00:00",642,12.16,13.22,0
"2016-04-24 24:00:00",643,12.19,13.21,0.01
"2016-04-25 24:00:00",644,12.2,13.12,0
"2016-04-26 24:00:00",645,12.24,13.1,0
"2016-04-27 24:00:00",646,12.19,13.2,0.63
"2016-04-28 24:00:00",647,12.21,13.17,0
"2016-04-29 24:00:00",648,12.25,13.09,0.35
"2016-04-30 24:00:00",649,12.2,13.15,0.24
"2016-05-01 24:00:00",650,12.21,13.18,0.01
"2016-05-02 24:00:00",651,12.18,13.24,0.02
"2016-05-03 24:00:00",652,12.1,13.3,0
"2016-05-04 24:00:00",653,12.17,13.26,0
"2016-05-05 24:00:00",654,12.18,13.21,0
"2016-05-06 24:00:00",655,12.17,13.24,0
"2016-05-07 24:00:00",656,12.18,13.2,0
"2016-05-08 24:00:00",657,12.23,13.18,0.04
"2016-05-09 24:00:00",658,12.18,13.11,0
"2016-05-10 24:00:00",659,12.27,13.09,0
"2016-05-11 24:00:00",660,12.18,13.14,0.17
"2016-05-12 24:00:00",661,12.22,13.09,0
"2016-05-13 24:00:00",662,12.22,13.13,0
"2016-05-14 24:00:00",663,12.22,13.1,0.28
"2016-05-15 24:00:00",664,12.14,13.15,0.01
"2016-05-16 24:00:00",665,12.2,13.14,0.14
"2016-05-17 24:00:00",666,12.2,13.17,0
"2016-05-18 24:00:00",667,12.2,13.2,0.13
"2016-05-19 24:00:00",668,12.11,13.18,1.93
"2016-05-20 24:00:00",669,12.09,13.13,0
"2016-05-21 24:00:00",670,12.21,13.15,0.57
"2016-05-22 24:00:00",671,12.23,13.1,0
"2016-05-23 24:00:00",672,12.21,13.1,0
"2016-05-24 24:00:00",673,12.2,13.09,0
"2016-05-25 24:00:00",674,12.23,13.05,0
"2016-05-26 24:00:00",675,12.06,12.42,5.01
"2016-05-27 24:00:00",676,11.88,12.51,0.87
"2016-05-28 24:00:00",677,11.81,12.94,0.07
"2016-05-29 24:00:00",678,12.14,13.05,0
"2016-05-30 24:00:00",679,12.17,13.05,0
"2016-05-31 24:00:00",680,12.13,13.08,0.03
"2016-06-01 24:00:00",681,12.11,13.07,0.27
